time	V(vc)
0.000000000000000e+000	0.000000e+000
2.857142857142859e-006	1.929722e-005
5.714285714285717e-006	5.596991e-005
8.571428571428576e-006	1.100181e-004
1.142857142857143e-005	1.814417e-004
1.428571428571429e-005	2.702407e-004
1.714285714285715e-005	3.764153e-004
2.000000000000000e-005	4.999653e-004
3.070402241634459e-003	1.503614e-001
6.120804483268918e-003	2.960416e-001
9.171206724903375e-003	4.375407e-001
1.222160896653783e-002	5.748585e-001
1.527201120817229e-002	7.079950e-001
1.832241344980675e-002	8.369504e-001
2.137281569144120e-002	9.617245e-001
2.857147640572692e-002	1.239174e+000
3.577013712001264e-002	1.500259e+000
4.296879783429836e-002	1.744979e+000
5.016745854858408e-002	1.973335e+000
5.736611926286979e-002	2.185326e+000
6.456477997715551e-002	2.380952e+000
7.176344069144121e-002	2.560215e+000
8.097102997715541e-002	2.771208e+000
9.017861926286962e-002	2.967067e+000
9.938620854858382e-002	3.147791e+000
1.085937978342980e-001	3.313380e+000
1.178013871200122e-001	3.463834e+000
1.270089764057264e-001	3.599154e+000
1.362165656914406e-001	3.719338e+000
1.455078603342977e-001	3.831020e+000
1.547991549771547e-001	3.934634e+000
1.640904496200118e-001	4.030182e+000
1.733817442628688e-001	4.117662e+000
1.826730389057259e-001	4.197075e+000
1.919643335485829e-001	4.268420e+000
2.012556281914400e-001	4.331698e+000
2.106306281914400e-001	4.390463e+000
2.200056281914400e-001	4.444953e+000
2.293806281914401e-001	4.495169e+000
2.387556281914401e-001	4.541110e+000
2.481306281914401e-001	4.582778e+000
2.575056281914401e-001	4.620171e+000
2.668806281914402e-001	4.653290e+000
2.765067442628691e-001	4.684528e+000
2.861328603342980e-001	4.713448e+000
2.957589764057270e-001	4.740048e+000
3.053850924771559e-001	4.764330e+000
3.150112085485848e-001	4.786294e+000
3.246373246200138e-001	4.805938e+000
3.342634406914427e-001	4.823264e+000
3.443917889057288e-001	4.839948e+000
3.545201371200149e-001	4.855345e+000
3.646484853343010e-001	4.869454e+000
3.747768335485871e-001	4.882276e+000
3.849051817628732e-001	4.893812e+000
3.950335299771593e-001	4.904060e+000
4.051618781914454e-001	4.913021e+000
4.162109853343030e-001	4.921908e+000
4.272600924771605e-001	4.930063e+000
4.383091996200181e-001	4.937487e+000
4.493583067628756e-001	4.944179e+000
4.604074139057332e-001	4.950140e+000
4.714565210485908e-001	4.955368e+000
4.825056281914483e-001	4.959866e+000
4.953962531914488e-001	4.964573e+000
5.082868781914492e-001	4.968847e+000
5.211775031914497e-001	4.972688e+000
5.340681281914502e-001	4.976096e+000
5.469587531914507e-001	4.979070e+000
5.598493781914512e-001	4.981612e+000
5.727400031914517e-001	4.983721e+000
5.850446906914522e-001	4.985606e+000
5.996931281914527e-001	4.987567e+000
6.000000000000000e-001	4.987605e+000
